BusVoltage_0,BusVoltage_1,BusVoltage_10,BusVoltage_11,BusVoltage_12,BusVoltage_13,BusVoltage_14,BusVoltage_2,BusVoltage_3,BusVoltage_4,BusVoltage_5,BusVoltage_6,BusVoltage_7,BusVoltage_8,BusVoltage_9,LineLoading_0,LineLoading_1,LineLoading_10,LineLoading_11,LineLoading_12,LineLoading_13,LineLoading_14,LineLoading_2,LineLoading_3,LineLoading_4,LineLoading_5,LineLoading_6,LineLoading_7,LineLoading_8,LineLoading_9,SwitchClosed_0,SwitchClosed_1,SwitchClosed_2,SwitchClosed_3,SwitchClosed_4,SwitchClosed_5,SwitchClosed_6,SwitchClosed_7,BusCycles_1,BusCycles_2,BusCycles_3,BusCycles_4,BusCycles_5,BusCycles_6,BusCycles_7,BusCycles_8,BusCycles_9,BusCycles_10,BusCycles_11,BusCycles_12,BusCycles_13,BusCycles_14,BusCycles_0,NumCycles,PercNodesInCycles,MeanCycleLength,MaxCycleLength,MinCycleLength,Load,Generation,SeqNumber,run
1.03,1.0018063289025223,0.9802346861881381,0.9801218452725912,1.0057616406933245,1.0026228997703728,1.0008165806251508,0.994035024784206,0.981315927917608,0.9798045629390114,0.9786684682671846,0.9778178059356935,0.9850941965378234,0.9815607711763409,0.9811318687651011,51.50191540531852,54.44742885701004,12.172765419813539,11.438400056742468,0.1775130638218816,0.3632770477619623,0.07519395713683812,60.07537856770349,50.504000434062846,12.266758290333005,69.21104904612747,24.643081712409952,26.571147560411916,7.618506740086783,52.88383051302385,True,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,0,0
1.03,1.0018073721339977,0.9802413175645427,0.98012849436198,1.005762461606389,1.0026241586818636,1.000818091541273,0.9940380035036653,0.9813219500417567,0.9798107577446153,0.9786747819748172,0.9778242569965611,0.9851006395789526,0.9815672170005504,0.9811383894695636,51.49164914838259,54.43770550314725,12.171123947391326,11.436853715356829,0.17751423496154814,0.3632795122171766,0.07519407065517657,60.06681963684084,50.49752621905831,12.264210380009455,69.21097087965468,24.63940492103269,26.566900231889424,7.616940490719092,52.89230016201402,True,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,1,0
1.03,1.0018084165571621,0.9802479570550187,0.9801351515871781,1.0057632833230246,1.0026254188441948,1.0008196039664767,0.9940409858142731,0.9813279795587587,0.9798169601738882,0.9786811034640718,0.9778307160182125,0.9851070905069778,0.9815736707177373,0.9811449181531933,51.48137685729327,54.42797663202439,12.169480929547337,11.435305912608763,0.17751540747990532,0.3632819796691503,0.0751941842864414,60.05824930879383,50.491043423876604,12.261659242302269,69.21089256647613,24.635725454759267,26.56264779666206,7.615372363580485,52.90078037435525,True,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,2,0
1.03,1.0018094623740597,0.9802546066010126,0.9801418188953891,1.0057641061844,1.0026266808331936,1.0008211186108749,0.9940439725064751,0.9813340181844857,0.9798231719819473,0.9786874345168919,0.9778371848174069,0.9851135511992447,0.9815801342024111,0.981151456720475,51.471095448722906,54.418239324532095,12.167835487519245,11.433755825121045,0.17751658184465352,0.3632844508819822,0.07519429808729254,60.04966564621468,50.48455059407132,12.259104232968433,69.2108141537464,24.63204185231024,26.558388833683576,7.613801849012655,52.90927435740643,True,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,3,0
1.03,1.0018105097092815,0.9802612669248142,0.9801484970109797,1.005764930279529,1.0026279447906352,1.0008226356465135,0.994046963909956,0.9813400665712545,0.9798293938377555,0.9786937758153131,0.9778436640911634,0.98512002235651,0.981586608155351,0.981158005880967,51.46080387283565,54.40849258708326,12.166187424300652,11.432203267830511,0.17751775810617013,0.36328692609626473,0.07519441206438611,60.041067826164365,50.478047017724684,12.256545074548345,69.21073563833502,24.628353691517393,26.55412285423344,7.612228763388475,52.91778308504785,True,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,4,0
1.03,1.0018003163924798,0.9802265711809115,0.9801138137220982,1.00576575569149,1.0026292108464472,1.0008241552302242,0.9940269926850769,0.9813048265872892,0.9797918236396632,0.9786540350696447,0.9777978687248168,0.985085339822324,0.981551785858666,0.981123239251596,51.53209191580504,54.48134072427984,12.164536565097194,11.430648076381907,0.17751893638029023,0.3632740709273611,0.07519452623630543,60.05682421442424,50.493094528230884,12.291562299905037,69.21354931169573,24.625787270287383,26.550986651733,7.610985341853648,52.92864946213149,False,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,5,0
1.03,1.0018127568276156,0.9802463963938454,0.9801282687603139,1.005766583163253,1.0026304800853783,1.0008256786443739,0.9940532021766146,0.9813525793861285,0.9798473505600279,0.9787075069535974,0.9778453761156638,0.9851360693693835,0.9815891947109284,0.9811555093993684,51.43942600588569,54.38817347663729,12.162881630320745,11.429089039376974,0.17884162155751368,0.3631753077337596,0.07519464069282035,59.97896553857892,50.503269226063594,12.325411518010307,69.20598868082702,24.938840546864764,26.666361377539477,7.7484849034145045,53.03152765223606,False,True,True,False,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,6,0
1.03,1.0018598244814143,0.9796713787195828,0.9795531965837154,1.0057549206579552,1.0026077948528846,1.0007962426797734,0.9941641267016812,0.9815635039808285,0.9804384227506624,0.9796466702062965,0.9797401582578467,0.9835366835657107,0.9810148257567487,0.9805809422591267,51.02515044520502,53.97491972235018,12.208002053505249,11.474196876272487,21.670727693411433,0.3633943856043116,0.0737061996129566,41.288439700798506,32.68325383020729,22.595611058280262,47.81417752466427,24.95085704301034,26.67803236342033,7.751535749978583,39.03377542223549,False,True,True,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,7,0
1.03,1.0017810881916882,0.9801308499530568,0.9800127420465885,1.005755750500861,1.0026090679237862,1.000797770769542,0.9939902363492232,0.9812407215303852,0.9797305405802944,0.9785952488497263,0.9777455707040376,0.9850073416879431,0.9814734583904736,0.9810398638070392,51.66397621843157,54.616852536236635,12.206348119874871,11.472639154335727,0.1774999502148599,,0.07374065787181701,60.014218576092304,50.45837289141234,12.247832550810491,69.22016507050802,24.934990329454877,26.66134089988964,7.746394057491184,53.098172319211166,True,False,False,True,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,8,0
1.03,1.0018045313583333,0.9802533941384348,0.9801407083478864,1.005769073268068,1.0026343002750002,1.0008302641085371,0.9940390375804811,0.9813291845464942,0.9798168802897415,0.9786795727932553,0.9778239620752828,0.9851114008037153,0.9815778580831722,0.9811496144256001,51.490796587388445,54.442232053526794,12.157899711311357,11.4243958254417,0.17752367357605175,0.3632840392663365,0.07519498521011651,60.022203878317015,50.46690718675251,12.281285713483392,69.21323340924839,24.610953044244447,26.533803582252617,7.6046493232497445,52.96293279399025,False,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,9,0
