BusVoltage_0,BusVoltage_1,BusVoltage_10,BusVoltage_11,BusVoltage_12,BusVoltage_13,BusVoltage_14,BusVoltage_2,BusVoltage_3,BusVoltage_4,BusVoltage_5,BusVoltage_6,BusVoltage_7,BusVoltage_8,BusVoltage_9,LineLoading_0,LineLoading_1,LineLoading_10,LineLoading_11,LineLoading_12,LineLoading_13,LineLoading_14,LineLoading_2,LineLoading_3,LineLoading_4,LineLoading_5,LineLoading_6,LineLoading_7,LineLoading_8,LineLoading_9,SwitchClosed_0,SwitchClosed_1,SwitchClosed_2,SwitchClosed_3,SwitchClosed_4,SwitchClosed_5,SwitchClosed_6,SwitchClosed_7,BusCycles_1,BusCycles_2,BusCycles_3,BusCycles_4,BusCycles_5,BusCycles_6,BusCycles_7,BusCycles_8,BusCycles_9,BusCycles_10,BusCycles_11,BusCycles_12,BusCycles_13,BusCycles_14,BusCycles_0,NumCycles,PercNodesInCycles,MeanCycleLength,MaxCycleLength,MinCycleLength,Load,Generation,SeqNumber,run
1.03,1.0018061801699976,0.9802337409341502,0.980120897493705,1.0057615236896937,1.002622720357942,1.0008163653053197,0.994034600167862,0.9813150694977162,0.9798036799027618,0.9786675682813392,0.9778168863705022,0.985093278127987,0.9815598523689327,0.9811309392857833,51.50337929870793,54.44881535262238,12.172999317875576,11.43862040041133,0.17751289687235902,0.36327669647813227,0.07519394095641806,60.07659867976992,50.50492334265775,12.267121496422302,69.2110602047821,24.64360585485392,26.5717529603119,7.618730004862585,52.88262343819152,True,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,0,0
1.03,1.0018072230647992,0.9802403693005942,0.9801275435642123,1.0057623441305636,1.0026239784742206,1.0008178752413155,0.9940375776432735,0.9813210889468497,0.9798098719671064,0.9786738792004146,0.9778233345850836,0.9850997182562736,0.9815662952833671,0.9811374570367833,51.49311689767806,54.4390956218431,12.171359037336813,11.437075176086346,0.17751406747453505,0.36327915980395104,0.07519405440176899,60.068043015860404,50.49845169393931,12.26457464215113,69.21098199066024,24.63993098297081,26.567507794045536,7.617164539198766,52.89108826950943,True,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,1,0
1.03,1.0018082672384692,0.9802470069982508,0.9801341989916285,1.0057631656344976,1.0026252382976142,1.000819387255019,0.9940405591724235,0.9813271168417887,0.9798160727266514,0.9786801989864624,0.977829791865299,0.9851061674439068,0.9815727472597027,0.9811439839585528,51.48284646830065,54.42936848555519,12.169716473797667,11.43552780089832,0.17751523974554495,0.363281626607285,0.07519416800748789,60.05947504287739,50.4919707185715,12.262024199787604,69.2109036929562,24.63625232434254,26.563256537540187,7.615596844710327,52.89956601945588,True,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,2,0
1.03,1.0018093127952248,0.9802536546423285,0.9801408643927219,1.0057639882642413,1.0026264999313976,1.0008209014730667,0.9940435450367798,0.9813331537428376,0.9798222827577323,0.9786865282268351,0.977836258811144,0.9851126262891613,0.9815792088964782,0.9811505206563568,51.47256710495435,54.41963308662567,12.168071476033187,11.433978132112232,0.17751641372968924,0.3632840971093179,0.07519428177238369,60.05089396643436,50.485479816840915,12.259469935336673,69.21082530427276,24.632569556488274,26.558998809774298,7.614026783821013,52.90805745365521,True,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,3,0
1.03,1.0018103600884902,0.9802603153719592,0.980147542916256,1.005764812549199,1.0026277642241823,1.0008224189267279,0.9940465365379924,0.9813392024429465,0.9798285049240805,0.9786928698362594,0.9778427383991326,0.9851190978292991,0.9815856832285254,0.9811570702097513,51.462273828153826,54.40988471045603,12.16642284877402,11.43242504985706,0.17751759005364842,0.36328657247245805,0.07519439578290704,60.04229628622626,50.478976215736346,12.25691070372412,69.2107468595654,24.62888049781771,26.554732320203904,7.612453503460631,52.916567451198745,True,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,4,0
1.03,1.0018114087852419,0.9802387532319408,0.9801206052209256,1.00576563774584,1.0026290299414833,1.0008239381010242,0.9940035969282205,0.9813452595343265,0.9797471303385084,0.9787002296412237,0.9777446555448931,0.9850432487501788,0.9815095518242409,0.9810809747777166,51.451972996910335,54.400129378863035,12.16477243220811,11.430870275549463,0.17751876801249275,0.363289051246995,0.07519450991881065,60.03368583941921,50.47246309270653,12.25434786841593,69.21066825461146,24.625188240135788,26.550460132733345,7.610878144399202,52.92508926354391,True,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,5,0
1.03,1.0018262880770108,0.9790363846664274,0.978918121094516,1.0057548011447042,1.002607611512296,1.000796022615048,0.9940815862963193,0.9814041996877907,0.9809758436196431,0.978759514201149,0.9815808910617281,0.9851936963076223,0.980380769866067,0.9799465770773166,51.338912524404414,54.28698470923412,12.208240240447722,11.4744212074161,0.17885208317100296,0.36319452453872686,0.07375369677384373,59.96866624449054,50.49525098956785,12.322635587221855,69.20226379942687,24.93430319612569,26.661275310844317,7.7467420201830155,52.983815125822765,False,True,True,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,7,0
1.03,1.0018269651817913,0.980299181454185,0.9801810919963655,1.0057556307545277,1.0026088842166687,1.0007975502615107,0.9940838129647849,0.9814088665507413,0.9799089082600446,0.9787738217868246,0.9779242987418407,0.9851748742283112,0.9816415739838616,0.9812080480428391,51.33136863779322,54.280019727233174,12.206586785278265,11.47286393606319,0.17753239650911282,0.36319812377094907,0.07375328883451343,59.91749191596716,50.449958201689235,12.24592759496378,69.2083392392653,24.930963181670304,26.65732515755878,7.745280529056946,53.08736873810517,True,False,True,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,8,0
1.03,1.0017931360210415,0.9802937897438997,0.9801811067181277,1.0057689528485334,1.0026341154613025,1.0008300422461498,0.9940156325415918,0.9812870015957172,0.9798597753826284,0.9786325528136413,0.9778753027903925,0.9850692900370941,0.9816182208186458,0.9811899858235437,51.573942158925746,54.526307447613355,12.158140875971215,11.424623008391565,0.17752350175990889,0.3632683428104976,0.07519496853996112,60.04783835819113,50.489427303068126,12.319268293155613,69.21613704684516,24.612617212016154,26.535563564640203,7.605211359738057,52.96403160000719,False,False,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,9,0
1.03,1.0018170578974486,0.9801945762958166,0.9800521112300395,1.0057572950384237,1.0026114376277468,1.0008315764700055,0.9940653820204234,0.9813771467657657,0.9800122018745175,0.9787232376170978,0.9780115376815934,0.9851835095235686,0.9816195524974316,0.9811614918756485,51.39745004463514,54.348318307172214,12.156473997562891,11.423052723814395,0.17885023383252582,0.36330595374676317,0.07519508381281172,60.033909937909534,50.47846040151951,12.31563228399776,69.20411866998903,24.606316904138147,26.528645819484975,7.602859586480329,52.87365198835358,False,True,False,True,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.93,1.17,10,0
